id;marca;talla;tela;color
1;array;Lead Dynamic;expedite zero tolerance Fantastic;NEGRO
2;Parkways digital generate;Analyst Checking Account Licensed Frozen Pizza;driver Maine;VERDE
3;Soft Multi-lateral;Lead;Cambridgeshire Communications;VERDE
4;Small override Directives;Ergonomic Applications;Identity;ROJO
5;1080p Cotton Money Market Account;Borders Organized;ROI Ergonomic Steel Gloves;AZUL
6;Forward overriding;strategize;California Specialist;NEGRO
7;transition Alaska Soft;Sausages synthesizing Baby;content navigating Orchestrator;VERDE
8;Pants;Small Rubber Cheese Credit Card Account wireless;Cheese backing up;AZUL
9;matrices Somoni;Plastic deposit;Borders;NEGRO
10;Cape Indian Rupee transmitting;solid state;Money Market Account compress;AZUL
